시군명,사업장명,인허가일자,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,인허가취소일자,영업상태명,폐업일자,소재지시설전화번호,X좌표값,Y좌표값,약국영업면적,지정일자
가평군,가평온누리약국,20100811,경기도 가평군 가평읍 가화로 113,경기도 가평군 가평읍 읍내리 468번지 22호,12418,37.8296499,127.5133047,,폐업,20140319,031-581-8777,245124.963914277,480919.843251865,129,20100811
가평군,가평온누리약국,20140320,경기도 가평군 가평읍 가화로 113,경기도 가평군 가평읍 읍내리 468-22번지,12418,37.8296499,127.5133047,,영업중,,031-581-8777,245124.963914277,480919.843251865,129,20140320
가평군,가평중앙약국,20180831,,,,,,,영업중,,031-581-7522,245099.657913547    ,481009.247467016    ,99,20180831
가평군,가평참빛약국,20051205,경기도 가평군 가평읍 가화로 55-12 (대곡리),경기도 가평군 가평읍 대곡리 166번지 1호,12420,37.8248498,127.5149412,,폐업,20101206,031-582-6904,245272.399227679,480386.602337806,59.4,20051205
가평군,감초온누리약국,20180205,경기도 가평군 설악면 신천중앙로88번길 1,경기도 가평군 설악면 신천리 120번지 3호,12465,37.6768064,127.4937563,,영업중,,031-585-1008,243492.440674527,463945.365480385,116.48,20180205
가평군,고향약국,20090424,경기도 가평군 설악면 한서로 9,경기도 가평군 설악면 신천리 121번지 14호,12465,37.6765855,127.4948884,,폐업,20120524,031-584-1902,243580.430627913,463917.162419542,39,20090424
가평군,고향약국,20130104,경기도 가평군 설악면 한서로 9,경기도 가평군 설악면 121번지 2호,12465,37.6765855,127.4948884,,영업중,,031-584-1902,243593.402771606,463919.67784463,39.6,20130104
가평군,굿모닝약국,20040501,경기도 가평군 청평면 청평중앙로 45-1,경기도 가평군 청평면 청평리 465번지 11호,12452,37.7378525,127.4195104,,영업중,,031-585-4638,236913.207585069,470690.151014453,26,20040501
가평군,단비약국,20181001,경기도 가평군 북면 화악산로 9,경기도 가평군 북면 목동리 889번지 4호 목동할인마트,12403,37.8861475794,127.5493541878,,영업중,,031-582-8151,248263.307374245    ,487206.514340274    ,49.58,20181001
가평군,대성약국,20110607,경기도 가평군 설악면 신천중앙로 118 (상가 102호),경기도 가평군 설악면 신천리 435번지 14호,12465,37.6779716,127.4908847,,영업중,,031-584-1050,243240.309092885,464072.327501484,75.6,20110607
가평군,대성약국,20091204,경기도 가평군 설악면 신천중앙로 118-1 (신천리),경기도 가평군 설악면 신천리 435번지 19호,12465,37.6780532,127.4907493,,폐업,20110607,584-1050,243227.300714012,464081.400325628,38.3,20091204
가평군,대신약국,20170911,경기도 가평군 가평읍 정간내로 1,경기도 가평군 가평읍 읍내리 445번지,12412,37.8315975395,127.5129432719,,폐업,20191111,031-581-6881,,,22,20170911
가평군,독일약국,19650817,경기도 가평군 청평면 청평중앙로72번길 24,경기도 가평군 청평면 청평리 388번지 15호,12452,37.7374628,127.4226961,,폐업,20140113,031-584-0005,237193.993687393,470648.842383042,29,19650817
가평군,란약국,19930928,"경기도 가평군 청평면 경춘로 1401, 2층",경기도 가평군 청평면 상천리 295번지,12449,37.7762660,127.4615303,,영업중,,031-581-0625,240595.987244443,474969.509275455,103.7,19930928
가평군,만사형통약국,20090713,,경기도 가평군 청평면 청평리 445번지 60호,12451,37.7386020,127.4164741,,폐업,20100907,031-585-1022,,,30,20090713
가평군,모범약국,20080502,경기도 가평군 상면 청군로 696,경기도 가평군 상면 임초리 412번지 5호,12447,37.7739317,127.3719846,,영업중,,031-585-9630,232707.849908668,474675.248899144,24.96,20080502
가평군,보령약국,20140811,경기도 가평군 가평읍 가화로 123,경기도 가평군 가평읍 읍내리 470번지 3호,12418,37.8304529,127.5130262,,폐업,20180830,031-582-7639,245099.657913547,481009.247467016,91.8,20140811
가평군,보령약국,20020501,경기도 가평군 가평읍 가화로 123 (읍내리),경기도 가평군 가평읍 읍내리 470번지 3호,12418,37.8304529,127.5130262,,폐업,20100906,031-582-7639,245099.657913547,481009.247467016,91,20020501
가평군,보령약국,20100906,경기도 가평군 가평읍 가화로 123,경기도 가평군 가평읍 읍내리 470번지 3호,12418,37.8304529,127.5130262,,폐업,20140811,582-7639,245099.657913547,481009.247467016,67,20100906
가평군,비채자연약국,20110328,경기도 가평군 청평면 경춘로 67-11 (대성리),경기도 가평군 청평면 대성리 399번지 41호,12457,37.6821348,127.3773222,,폐업,20110722,1661-1905,233220.243713066,464488.877384508,153.06,20110328
가평군,서울프라자약국,19911227,경기도 가평군 조종면 현창로38번길 4-1 (서울프라자약국),경기도 가평군 조종면 현리 265번지 2호,12437,37.8184549,127.3487082,,영업중,,031-585-1007,230638.38254113,479609.241867026,70,19911227
가평군,설악약국,20180621,경기도 가평군 설악면 미사리로540번길 51,경기도 가평군 설악면 미사리 149번지 4호 설악휴게소,12462,37.7019355153,127.5467944736,,영업중,,,248130.438974745    ,466721.141902197    ,16.5,20180621
가평군,소리약국,20170720,경기도 가평군 가평읍 석봉로 198,경기도 가평군 가평읍 읍내리 615번지 5호,12413,37.8325651,127.5100192,,폐업,20171124,031-581-7761,244835.245032574,481241.386171086,46.2,20170720
가평군,소망약국,20090617,경기도 가평군 가평읍 가화로 75-1 (대곡리),경기도 가평군 가평읍 대곡리 233번지 4호,12420,37.8265444,127.5147485,,폐업,20090930,031-581-4067,245253.311480119,480573.38196069,46,20090617
